year,haul_date,species,fmp_subarea,gear_type,extrapolated_weight
2020,2020-07-18T00:00:00Z,330,CG,1,99.83
2020,2020-05-17T00:00:00Z,330,CG,1,11861.66
2020,2020-05-23T00:00:00Z,330,CG,1,506.2
2020,2020-05-26T00:00:00Z,330,CG,1,5145.11
2020,2020-06-05T00:00:00Z,330,CG,1,376.42
2020,2020-10-15T00:00:00Z,330,CG,2,81.09
2020,2020-05-29T00:00:00Z,330,CG,1,3867.27
2020,2020-05-20T00:00:00Z,330,CG,1,5754.49
2020,2020-05-12T00:00:00Z,330,CG,1,141.81
2020,2020-11-07T00:00:00Z,330,CG,2,117.85
2020,2020-05-21T00:00:00Z,330,CG,2,189.5
2020,2020-07-03T00:00:00Z,330,CG,1,689.76
2020,2020-07-05T00:00:00Z,330,CG,1,3089.46
2020,2020-05-11T00:00:00Z,330,CG,1,1039.22
2020,2020-05-23T00:00:00Z,330,CG,2,1035.82
2020,2020-05-12T00:00:00Z,330,CG,1,579.25
2020,2020-07-26T00:00:00Z,330,WG,1,2345.24
2020,2020-07-29T00:00:00Z,330,WG,1,2072.11
2020,2020-07-10T00:00:00Z,330,CG,1,559.79
2020,2020-07-14T00:00:00Z,330,CG,1,2196.77
2020,2020-07-17T00:00:00Z,330,CG,1,4761.82
2020,2020-07-24T00:00:00Z,330,CG,1,3714.46
2020,2020-05-13T00:00:00Z,330,CG,1,452.61
2020,2020-05-13T00:00:00Z,330,CG,1,5744.14
2020,2020-05-26T00:00:00Z,330,CG,1,5766.01
2020,2020-08-03T00:00:00Z,330,CG,1,41.55
2020,2020-08-08T00:00:00Z,330,CG,1,139.16
2020,2020-10-24T00:00:00Z,330,CG,1,1032.05
2020,2020-05-26T00:00:00Z,330,CG,1,876.82
2020,2020-05-18T00:00:00Z,330,CG,1,1348.42
2020,2020-05-23T00:00:00Z,330,CG,1,2640.08
2020,2020-05-24T00:00:00Z,330,CG,1,1011.57
2020,2020-05-12T00:00:00Z,330,CG,1,160.04
2020,2020-07-02T00:00:00Z,330,CG,1,386.58
2020,2020-07-07T00:00:00Z,330,CG,1,121.61
2020,2020-05-18T00:00:00Z,330,CG,2,251.7
2020,2020-05-20T00:00:00Z,330,CG,2,407.19
2020,2020-07-21T00:00:00Z,330,WG,1,83.4
2020,2020-07-22T00:00:00Z,330,WG,1,104.73
2020,2020-07-31T00:00:00Z,330,WG,1,1667.77
2020,2020-05-31T00:00:00Z,330,CG,1,1119.72
2020,2020-05-23T00:00:00Z,330,CG,2,217.78
2020,2020-05-12T00:00:00Z,330,CG,1,34.29
2020,2020-07-17T00:00:00Z,330,CG,1,1027.54
2020,2020-07-24T00:00:00Z,330,CG,1,76.27
2020,2020-07-24T00:00:00Z,330,CG,1,127.42
2020,2020-07-14T00:00:00Z,330,CG,1,482.71
2020,2020-08-10T00:00:00Z,330,CG,1,215.77
2020,2020-08-12T00:00:00Z,330,CG,1,68.98
2020,2020-08-02T00:00:00Z,330,WG,1,2661.5
2020,2020-09-11T00:00:00Z,330,CG,2,1208.34
2020,2020-09-12T00:00:00Z,330,CG,2,141.68
2020,2020-10-03T00:00:00Z,330,CG,1,234.77
2020,2020-05-02T00:00:00Z,330,CG,1,329.93
2020,2020-05-12T00:00:00Z,330,CG,1,1215.45
2020,2020-05-28T00:00:00Z,330,CG,1,776.58
2020,2020-07-03T00:00:00Z,330,CG,1,867.1
2020,2020-07-07T00:00:00Z,330,CG,1,997.49
2020,2020-07-09T00:00:00Z,330,CG,1,562.31
2020,2020-07-05T00:00:00Z,330,CG,2,410.76
2020,2020-05-23T00:00:00Z,330,CG,2,1817.75
2020,2020-06-11T00:00:00Z,330,CG,1,234.62
2020,2020-05-20T00:00:00Z,330,CG,1,4584.24
2020,2020-05-31T00:00:00Z,330,CG,1,5044.56
2020,2020-07-04T00:00:00Z,330,CG,1,7138.58
2020,2020-07-05T00:00:00Z,330,CG,1,6610.56
2020,2020-05-11T00:00:00Z,330,CG,1,23.85
2020,2020-06-11T00:00:00Z,330,CG,1,1501.03
2020,2020-05-21T00:00:00Z,330,CG,2,63.9
2020,2020-07-14T00:00:00Z,330,CG,1,2579.38
2020,2020-07-14T00:00:00Z,330,CG,1,7080.77
2020,2020-07-14T00:00:00Z,330,CG,1,3659.22
2020,2020-07-29T00:00:00Z,330,CG,1,3691.97
2020,2020-05-11T00:00:00Z,330,CG,1,1235.71
2020,2020-05-14T00:00:00Z,330,CG,1,3730.48
2020,2020-05-19T00:00:00Z,330,CG,1,2644.03
2020,2020-05-26T00:00:00Z,330,CG,1,6284.51
2020,2020-06-05T00:00:00Z,330,CG,1,8480.87
2020,2020-07-30T00:00:00Z,330,WG,1,5793.79
2020,2020-06-10T00:00:00Z,330,CG,1,2930.68
2020,2020-09-16T00:00:00Z,330,CG,2,31.81
2020,2020-10-11T00:00:00Z,330,WG,8,6.64
2020,2020-10-10T00:00:00Z,330,CG,2,114.14
2020,2020-10-13T00:00:00Z,330,CG,2,1706.31
2020,2020-05-23T00:00:00Z,330,CG,2,734.1
2020,2020-05-29T00:00:00Z,330,CG,1,203.09
2020,2020-06-01T00:00:00Z,330,CG,2,310.79
2020,2020-05-25T00:00:00Z,330,CG,2,274.94
2020,2020-08-01T00:00:00Z,330,WG,1,905.15
2020,2020-08-10T00:00:00Z,330,WG,1,710.08
2020,2020-08-17T00:00:00Z,330,WG,1,1244.25
2020,2020-08-20T00:00:00Z,330,WG,1,885.13
2020,2020-10-29T00:00:00Z,330,CG,2,489.75
2020,2020-06-07T00:00:00Z,330,CG,1,539.95
2020,2020-06-10T00:00:00Z,330,CG,1,534.88
2020,2020-06-13T00:00:00Z,330,CG,1,1786.49
2020,2020-06-19T00:00:00Z,330,CG,1,297.41
