"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-09-09,303,"GOA",1,67.5
2018,2018-07-12,303,"GOA",1,67.15
2018,2018-07-12,303,"GOA",1,1417.32
2018,2018-07-12,303,"GOA",1,110.42
2018,2018-07-14,303,"GOA",1,12429.47
2018,2018-07-15,303,"GOA",1,75.6
2018,2018-07-14,303,"GOA",2,5.71
2018,2018-07-04,303,"GOA",1,1993.26
2018,2018-07-04,303,"GOA",1,1384.7
2018,2018-07-05,303,"GOA",1,1302.14
2018,2018-07-05,303,"GOA",1,1576.77
2018,2018-07-05,303,"GOA",1,7359.81
2018,2018-07-05,303,"GOA",1,2297.69
2018,2018-07-05,303,"GOA",1,1257.39
2018,2018-07-06,303,"GOA",1,2260.19
2018,2018-07-06,303,"GOA",1,2921.54
2018,2018-07-06,303,"GOA",1,1189.98
2018,2018-07-06,303,"GOA",1,5387.65
2018,2018-07-06,303,"GOA",1,4244.5
2018,2018-07-06,303,"GOA",1,3379.34
2018,2018-07-07,303,"GOA",1,7141.7
2018,2018-07-07,303,"GOA",1,19645.06
2018,2018-07-07,303,"GOA",1,4538.97
2018,2018-07-08,303,"GOA",1,4752.27
2018,2018-07-08,303,"GOA",1,20031.06
2018,2018-07-08,303,"GOA",1,6671.41
2018,2018-07-20,303,"GOA",1,4048.51
2018,2018-07-31,303,"GOA",1,2784.75
2018,2018-07-31,303,"GOA",1,80.33
2018,2018-08-02,303,"GOA",1,120.51
2018,2018-07-21,303,"GOA",1,2529.42
2018,2018-07-21,303,"GOA",1,995.08
2018,2018-07-21,303,"GOA",1,13113.08
2018,2018-07-21,303,"GOA",1,16914.53
2018,2018-07-24,303,"GOA",1,274.65
2018,2018-07-26,303,"GOA",1,2241.55
2018,2018-07-26,303,"GOA",1,924.49
2018,2018-07-27,303,"GOA",1,1540.3
2018,2018-07-27,303,"GOA",1,1294.16
2018,2018-07-26,303,"GOA",1,2551.84
2018,2018-07-13,303,"GOA",1,49.21
2018,2018-07-13,303,"GOA",1,2465.62
2018,2018-07-14,303,"GOA",1,2429.27
2018,2018-07-14,303,"GOA",1,4316.06
2018,2018-07-14,303,"GOA",1,4083.5
2018,2018-07-14,303,"GOA",1,6006.45
2018,2018-07-15,303,"GOA",1,236.05
2018,2018-08-16,303,"GOA",1,14828.87
2018,2018-08-16,303,"GOA",1,35695.15
2018,2018-08-16,303,"GOA",1,26741.21
2018,2018-08-17,303,"GOA",1,4831.29
