"YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
2017,2017-09-12,303,"GOA",20.49
2017,2017-09-13,303,"GOA",19.29
2017,2017-09-15,303,"GOA",103.08
2017,2017-09-15,303,"GOA",18.99
2017,2017-09-18,303,"GOA",14.07
2017,2017-07-12,303,"GOA",88.79
2017,2017-07-13,303,"GOA",10.76
2017,2017-07-11,303,"GOA",1704.17
2017,2017-07-12,303,"GOA",61.46
2017,2017-07-12,303,"GOA",156.27
2017,2017-07-10,303,"GOA",2247.66
2017,2017-07-10,303,"GOA",234.45
2017,2017-07-11,303,"GOA",84.93
2017,2017-07-11,303,"GOA",1334.67
2017,2017-07-11,303,"GOA",4021.68
2017,2017-07-11,303,"GOA",129.32
2017,2017-07-13,303,"GOA",13.14
2017,2017-07-14,303,"GOA",1395.62
2017,2017-07-14,303,"GOA",428.41
2017,2017-07-14,303,"GOA",21.05
2017,2017-07-14,303,"GOA",635.95
2017,2017-07-14,303,"GOA",205.96
2017,2017-07-14,303,"GOA",1154.8
2017,2017-07-14,303,"GOA",811.57
2017,2017-07-15,303,"GOA",963.54
2017,2017-05-10,303,"GOA",566.28
2017,2017-05-10,303,"GOA",135.28
2017,2017-05-12,303,"GOA",345.67
2017,2017-05-13,303,"GOA",448.09
2017,2017-07-15,303,"GOA",239.89
2017,2017-05-29,303,"GOA",52.08
2017,2017-07-07,303,"GOA",876.16
2017,2017-07-07,303,"GOA",858.7
2017,2017-07-01,303,"GOA",4143.71
2017,2017-07-02,303,"GOA",9687.69
2017,2017-07-02,303,"GOA",3201.14
2017,2017-07-02,303,"GOA",1079.25
2017,2017-07-03,303,"GOA",196.03
2017,2017-07-04,303,"GOA",4078.35
2017,2017-07-04,303,"GOA",2713.81
2017,2017-07-04,303,"GOA",1538.14
2017,2017-07-04,303,"GOA",802.09
2017,2017-07-05,303,"GOA",631.08
2017,2017-07-08,303,"GOA",1116.41
2017,2017-07-11,303,"GOA",1864.77
2017,2017-07-12,303,"GOA",903.79
2017,2017-07-12,303,"GOA",1015.55
2017,2017-07-13,303,"GOA",785.08
2017,2017-07-13,303,"GOA",57.36
2017,2017-07-07,303,"GOA",794.16
2017,2017-07-07,303,"GOA",827.18
2017,2017-07-16,303,"GOA",84.16
2017,2017-05-05,303,"GOA",13.65
2017,2017-05-05,303,"GOA",107.77
2017,2017-05-07,303,"GOA",286.41
2017,2017-05-08,303,"GOA",187.2
2017,2017-05-12,303,"GOA",182.73
2017,2017-05-13,303,"GOA",88.15
2017,2017-05-26,303,"GOA",523.77
2017,2017-05-26,303,"GOA",755.36
2017,2017-05-30,303,"GOA",775.03
2017,2017-05-30,303,"GOA",808.07
2017,2017-05-30,303,"GOA",825.29
2017,2017-05-31,303,"GOA",239.07
2017,2017-05-31,303,"GOA",247.34
2017,2017-05-19,303,"GOA",91.44
2017,2017-05-19,303,"GOA",106.09
2017,2017-05-25,303,"GOA",588.26
2017,2017-05-25,303,"GOA",1440.35
2017,2017-05-25,303,"GOA",1139.19
2017,2017-05-26,303,"GOA",9.3
2017,2017-06-23,303,"GOA",40.37
2017,2017-06-24,303,"GOA",25.88
2017,2017-06-25,303,"GOA",227.46
2017,2017-06-01,303,"GOA",3426
2017,2017-06-01,303,"GOA",2279.82
2017,2017-06-02,303,"GOA",303.13
2017,2017-06-11,303,"GOA",287.59
2017,2017-06-11,303,"GOA",390.68
2017,2017-06-15,303,"GOA",305.97
2017,2017-06-19,303,"GOA",64.18
2017,2017-06-19,303,"GOA",147.28
2017,2017-06-20,303,"GOA",77.01
2017,2017-09-04,303,"GOA",327.37
2017,2017-07-04,303,"GOA",732.15
2017,2017-07-05,303,"GOA",68.11
2017,2017-07-05,303,"GOA",151.72
2017,2017-06-08,303,"GOA",38.23
2017,2017-06-08,303,"GOA",15.2
2017,2017-06-08,303,"GOA",30.62
2017,2017-06-13,303,"GOA",263.96
2017,2017-06-13,303,"GOA",111.88
2017,2017-05-22,303,"GOA",167.92
2017,2017-05-22,303,"GOA",60.46
2017,2017-05-22,303,"GOA",174.57
2017,2017-05-23,303,"GOA",239.3
2017,2017-05-23,303,"GOA",48.57
2017,2017-07-19,303,"GOA",122.51
2017,2017-07-19,303,"GOA",200.79
2017,2017-07-10,303,"GOA",40.39
2017,2017-07-10,303,"GOA",42.46
2017,2017-07-11,303,"GOA",38.65
2017,2017-07-20,303,"GOA",49.35
2017,2017-07-20,303,"GOA",56.98
2017,2017-07-21,303,"GOA",1149.95
2017,2017-07-21,303,"GOA",94.24
2017,2017-07-21,303,"GOA",786.32
2017,2017-07-22,303,"GOA",333.71
2017,2017-07-22,303,"GOA",97.47
2017,2017-07-22,303,"GOA",235.36
2017,2017-07-22,303,"GOA",241.92
2017,2017-07-23,303,"GOA",25.99
2017,2017-07-23,303,"GOA",38.24
2017,2017-07-23,303,"GOA",43.57
2017,2017-07-23,303,"GOA",93.05
2017,2017-07-11,303,"GOA",24.31
2017,2017-07-11,303,"GOA",97.16
2017,2017-07-13,303,"GOA",390.64
2017,2017-07-31,303,"GOA",3177.74
2017,2017-07-31,303,"GOA",7740.51
2017,2017-07-31,303,"GOA",31029.13
2017,2017-07-31,303,"GOA",34205.57
2017,2017-08-01,303,"GOA",38282.83
2017,2017-08-01,303,"GOA",205.64
2017,2017-08-01,303,"GOA",32.53
2017,2017-08-02,303,"GOA",9.21
2017,2017-08-03,303,"GOA",21.78
2017,2017-08-03,303,"GOA",41.62
2017,2017-08-03,303,"GOA",37.76
2017,2017-07-06,303,"GOA",583.35
2017,2017-07-07,303,"GOA",75.82
2017,2017-07-07,303,"GOA",37.02
2017,2017-07-08,303,"GOA",32.85
2017,2017-07-09,303,"GOA",75.77
2017,2017-07-09,303,"GOA",33.11
2017,2017-07-06,303,"GOA",4859.94
2017,2017-07-06,303,"GOA",459.95
2017,2017-07-06,303,"GOA",1595.58
2017,2017-07-09,303,"GOA",31.3
2017,2017-07-14,303,"GOA",33.56
2017,2017-07-14,303,"GOA",12495.08
2017,2017-07-15,303,"GOA",21738.02
2017,2017-07-15,303,"GOA",130.3
2017,2017-07-18,303,"GOA",30.13
2017,2017-07-18,303,"GOA",118.28
2017,2017-07-18,303,"GOA",64.48
2017,2017-08-18,303,"GOA",1576.77
2017,2017-08-18,303,"GOA",467.59
2017,2017-08-18,303,"GOA",957.98
2017,2017-08-18,303,"GOA",76.2
2017,2017-08-18,303,"GOA",2897.13
2017,2017-08-18,303,"GOA",2719.69
2017,2017-08-19,303,"GOA",2857.83
2017,2017-10-03,303,"GOA",76.15
2017,2017-10-03,303,"GOA",48.95
2017,2017-10-04,303,"GOA",19.34
2017,2017-10-05,303,"GOA",4.83
2017,2017-10-08,303,"GOA",67.99
2017,2017-05-13,303,"GOA",107.32
2017,2017-05-13,303,"GOA",895
2017,2017-05-13,303,"GOA",258.65
2017,2017-05-13,303,"GOA",858.86
2017,2017-05-13,303,"GOA",348.24
2017,2017-05-13,303,"GOA",106.27
2017,2017-05-14,303,"GOA",561.68
2017,2017-05-14,303,"GOA",114.4
2017,2017-05-15,303,"GOA",300.23
2017,2017-05-15,303,"GOA",1116.02
2017,2017-07-23,303,"GOA",44.06
2017,2017-07-24,303,"GOA",60.73
2017,2017-07-24,303,"GOA",124.23
2017,2017-07-24,303,"GOA",326.8
2017,2017-07-24,303,"GOA",297.6
2017,2017-07-24,303,"GOA",325.65
2017,2017-07-25,303,"GOA",126.27
2017,2017-07-25,303,"GOA",63.31
2017,2017-07-25,303,"GOA",124.91
2017,2017-07-26,303,"GOA",42.98
2017,2017-07-26,303,"GOA",74.58
2017,2017-07-26,303,"GOA",226.36
2017,2017-07-26,303,"GOA",142.34
2017,2017-08-06,303,"GOA",5158.95
2017,2017-08-06,303,"GOA",5370.88
2017,2017-08-07,303,"GOA",251.01
2017,2017-08-11,303,"GOA",11814.8
2017,2017-08-11,303,"GOA",12890.51
2017,2017-08-12,303,"GOA",632.88
2017,2017-08-12,303,"GOA",579.49
2017,2017-08-13,303,"GOA",22.07
2017,2017-07-29,303,"GOA",23.07
2017,2017-07-30,303,"GOA",22732.31
2017,2017-07-30,303,"GOA",27141.75
2017,2017-08-14,303,"GOA",40.73
2017,2017-08-17,303,"GOA",3667.73
2017,2017-08-17,303,"GOA",6267.2
2017,2017-10-08,303,"GOA",152.3
2017,2017-10-08,303,"GOA",620.07
2017,2017-10-09,303,"GOA",64.82
2017,2017-10-09,303,"GOA",50.77
2017,2017-10-09,303,"GOA",95.19
2017,2017-10-10,303,"GOA",8.46
2017,2017-10-10,303,"GOA",32.64
2017,2017-10-10,303,"GOA",36.26
2017,2017-10-10,303,"GOA",13.6
2017,2017-10-10,303,"GOA",90.65
2017,2017-10-10,303,"GOA",103.34
2017,2017-06-23,303,"GOA",771.56
2017,2017-06-12,303,"GOA",103.02
2017,2017-05-04,303,"GOA",5350.67
2017,2017-05-04,303,"GOA",9194.81
2017,2017-05-04,303,"GOA",4765.8
2017,2017-05-04,303,"GOA",7193.53
2017,2017-06-06,303,"GOA",132.24
2017,2017-06-08,303,"GOA",51.69
2017,2017-05-14,303,"GOA",24.02
2017,2017-05-14,303,"GOA",318.48
2017,2017-05-15,303,"GOA",328.56
2017,2017-06-14,303,"GOA",41.35
2017,2017-05-14,303,"GOA",486.42
2017,2017-05-14,303,"GOA",179.39
2017,2017-05-05,303,"GOA",157.7
2017,2017-05-05,303,"GOA",510.33
2017,2017-05-08,303,"GOA",1672.98
